date,open,high,low,close,volume,amount
2017-09-26,3336.35,3347.16,3332.6,3343.58,1326285.0,159039635456.0
2017-09-27,3340.82,3349.69,3340.3,3345.27,1430869.0,168981331968.0
2017-09-28,3343.84,3344.6,3336.18,3339.64,1494443.0,181955624960.0
2017-09-29,3340.31,3357.02,3340.31,3348.94,1448624.0,175892824064.0
2017-10-09,3403.25,3410.17,3366.97,3374.38,1917360.0,227440590848.0
2017-10-10,3373.34,3384.03,3358.8,3382.99,1794238.0,231148617728.0
2017-10-11,3381.49,3395.78,3379.16,3388.28,1814767.0,231154499584.0
2017-10-12,3385.53,3390.2,3372.53,3386.1,1618093.0,201667870720.0
2017-10-13,3384.49,3395.75,3383.24,3390.52,1399547.0,181118451712.0
2017-10-16,3393.21,3400.51,3374.77,3378.47,1743306.0,221650681856.0
2017-10-17,3373.23,3382.41,3365.56,3372.04,1253817.0,162910830592.0
2017-10-18,3373.53,3383.23,3371.92,3381.79,1572287.0,194298773504.0
2017-10-19,3374.64,3378.74,3359.63,3370.17,1584765.0,187921285120.0
2017-10-20,3363.51,3379.77,3360.1,3378.65,1271728.0,155065090048.0
2017-10-23,3382.28,3385.29,3374.71,3380.7,1308462.0,164369448960.0
2017-10-24,3376.6,3388.69,3374.12,3388.25,1398975.0,178552881152.0
2017-10-25,3384.86,3398.3,3382.03,3396.9,1231312.0,160060702720.0
2017-10-26,3397.52,3414.24,3391.45,3407.57,1837686.0,238596128768.0
2017-10-27,3404.5,3421.1,3402.11,3416.81,1702571.0,212377190400.0
2017-10-30,3413.87,3419.73,3357.28,3390.34,2083492.0,257776648192.0
2017-10-31,3381.0,3397.1,3376.12,3393.34,1534982.0,199929577472.0
2017-11-01,3393.97,3410.35,3388.6,3395.91,1805661.0,231978385408.0
2017-11-02,3391.65,3391.65,3372.21,3383.31,1668642.0,210014978048.0
2017-11-03,3377.74,3380.57,3347.36,3371.74,1727147.0,207437938688.0
2017-11-06,3369.69,3389.38,3356.53,3388.17,1546364.0,204311232512.0
2017-11-07,3389.47,3415.15,3387.95,3413.57,1905717.0,242595954688.0
2017-11-08,3409.15,3434.49,3404.88,3415.46,1854364.0,242025594880.0
2017-11-09,3410.67,3428.77,3408.62,3427.79,1586504.0,205433667584.0
2017-11-10,3423.18,3438.79,3414.33,3432.67,1892765.0,255772114944.0
2017-11-13,3435.18,3449.16,3435.08,3447.84,2053890.0,266738122752.0
2017-11-14,3446.55,3450.49,3419.69,3429.55,1964726.0,267435425792.0
2017-11-15,3416.21,3423.75,3396.38,3402.52,1687920.0,239734194176.0
2017-11-16,3393.19,3409.65,3390.59,3399.25,1566843.0,220862464000.0
2017-11-17,3392.68,3403.29,3373.3,3382.91,2494581.0,313750355968.0
