date,open,high,low,close,volume,amount
2021-08-03,287.87,288.43,270.09,274.54,122383,6535093760.0
2021-08-04,276.21,296.76,271.21,295.65,174004,9647162112.0
2021-08-05,293.98,293.98,283.17,288.98,129792,7197921024.0
2021-08-06,293.31,294.54,278.98,281.69,143712,7918384384.0
2021-08-09,275.09,275.37,258.98,266.21,185831,9534234368.0
2021-08-10,263.43,267.98,256.76,263.15,180169,9152881664.0
2021-08-11,262.87,270.09,260.03,266.9,112364,5790098688.0
2021-08-12,263.99,264.53,253.98,258.43,171162,8599262208.0
2021-08-13,246.21,273.93,246.21,258.46,277258,14085448960.0
2021-08-16,253.98,259.48,240.58,244.54,220440,10620462848.0
2021-08-17,248.98,254.43,244.67,246.21,156106,7586087168.0
2021-08-18,249.84,258.93,244.77,254.54,159575,7861906176.0
2021-08-19,258.43,262.72,248.43,258.98,144535,7215254016.0
2021-08-20,256.76,256.87,247.59,254.04,125276,6160678656.0
2021-08-23,260.09,270.22,258.43,269.48,162244,8359922944.0
2021-08-24,266.43,279.59,265.72,270.09,133137,7011227136.0
2021-08-25,270.65,275.21,263.54,274.12,95303,4963866880.0
2021-08-26,279.53,290.06,268.92,268.98,167983,8951110656.0
2021-08-27,268.43,270.65,258.43,261.48,119582,6098898944.0
2021-08-30,261.46,271.65,256.68,260.23,157143,8036791808.0
2021-08-31,263.95,263.95,249.46,254.47,147621,7288932608.0
2021-09-01,252.87,253.98,241.48,251.04,144627,7006043904.0
2021-09-02,252.87,255.16,249.42,253.71,114649,5637614592.0
2021-09-03,256.21,259.47,246.69,249.82,112820,5523301120.0
2021-09-06,253.43,267.32,247.87,266.26,147920,7471544064.0
2021-09-07,265.65,272.13,262.87,265.1,94222,4866454272.0
2021-09-08,267.87,270.42,257.32,258.98,97394,4960557824.0
2021-09-09,262.59,267.86,252.21,261.32,110162,5541869312.0
2021-09-10,253.67,259.42,252.14,258.48,112969,5625272576.0
2021-09-13,258.48,264.04,255.09,258.87,89690,4498932736.0
2021-09-14,261.27,280.09,258.94,273.93,233837,12347086848.0
2021-09-15,273.98,275.09,263.88,271.4,105015,5470153216.0
2021-09-16,270.09,270.09,256.21,256.21,112604,5712849920.0
2021-09-17,255.65,262.32,252.94,258.98,81938,4095076768.0
2021-09-22,254.32,257.87,250.71,253.6,64239,3170987216.0
2021-09-23,260.02,260.02,252.76,253.42,79714,3955499104.0
2021-09-24,254.47,264.27,252.04,257.31,102625,5155614208.0
2021-09-27,260.09,268.32,257.2,264.82,144963,7441411072.0
2021-09-28,263.98,267.29,256.32,257.56,92225,4682091264.0
2021-09-29,255.09,263.87,253.98,258.71,93955,4739177472.0
2021-09-30,260.09,275.37,258.43,271.61,167142,8696962304.0
2021-10-08,276.21,285.13,270.04,276.21,125169,6710477568.0
2021-10-11,276.76,278.21,267.35,268.98,78309,4112416016.0
2021-10-12,269.31,269.88,256.69,260.09,95907,4879529728.0
2021-10-13,260.09,269.82,259.54,269.68,76522,3950317424.0
2021-10-14,271.21,276.69,271.21,275.26,78416,4161069008.0
2021-10-15,275.09,301.13,272.93,295.65,229513,12822713856.0
